name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
11355,2024-05-05,12.8,9.4,10.8,12.8,6.7,9.9,8.2,84.7,7.654,100,37.5,rain,0,0,37.1,23.1,124.1,1024.4,100,11.6,29.7,2.5,1,10,2024-05-05T05:48:16,2024-05-05T19:56:20,0.91,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"F7223,KJFK,KLGA,KNYC"
11355,2024-05-06,20.6,12.8,16.7,20.6,12.8,16.7,14.9,89.2,12.2,82,41.67,rain,0,0,22.3,16.6,198.7,1015.3,90.1,6.3,150.6,13,5,10,2024-05-06T05:47:06,2024-05-06T19:57:22,0.95,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,
11355,2024-05-07,22.8,15,18.5,22.8,15,18.5,12.1,68.6,0,23,0,,0,0,25.9,18.4,135.5,1007.5,60.1,14.6,214.8,18.8,5,10,2024-05-07T05:45:57,2024-05-07T19:58:23,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
11355,2024-05-08,24.5,15.5,19.7,24.5,15.5,19.7,14,71.8,1,54,16.67,rain,0,0,41.8,27.4,242.7,1003.1,61.7,14.8,230.4,19.7,7,10,2024-05-08T05:44:50,2024-05-08T19:59:24,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,
11355,2024-05-09,17.8,13.6,15.7,17.8,13.6,15.7,10.9,73.5,2.7,78,16.67,rain,0,0,33.8,23,86,1003,77.7,21.3,116.8,9.9,5,10,2024-05-09T05:43:44,2024-05-09T20:00:24,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
11355,2024-05-10,17.6,12.4,14.7,17.6,12.4,14.7,10.2,74.6,3.7,78,25,rain,0,0,31,20.5,93.1,1003.7,74.3,23.9,65.1,5.7,2,10,2024-05-10T05:42:39,2024-05-10T20:01:24,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
11355,2024-05-11,17.1,11.7,14.1,17.1,11.7,14.1,8,67.5,1.3,53,20.83,rain,0,0,31,21.2,309.1,1010.4,58.8,24.1,255.5,21.9,7,10,2024-05-11T05:41:36,2024-05-11T20:02:24,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,
11355,2024-05-12,17,11.1,14,17,11.1,14,8,67.4,8,32,16.67,rain,0,0,29.9,20.9,248.6,1016.3,57.8,24.1,255,21.9,6,10,2024-05-12T05:40:35,2024-05-12T20:03:23,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
11355,2024-05-13,15.7,11.4,13.2,15.7,11.4,13.2,10.8,85.9,11.1,26,8.33,rain,0,0,81.4,38.5,221.1,1002.3,67,15,34,2.8,1,10,2024-05-13T05:39:35,2024-05-13T20:04:22,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
11355,2024-05-14,21,11,16.1,21,11,16.1,7.8,61.5,0.4,29,4.17,rain,0,0,43.2,24.5,246.8,1009.3,14,24.1,329.3,28.5,9,10,2024-05-14T05:38:37,2024-05-14T20:05:21,0.21,Clear,Clear conditions throughout the day.,clear-day,
11355,2024-05-15,20.8,14.6,17.1,20.8,14.6,17.1,9.7,62.9,0.1,22.6,4.17,rain,0,0,41.8,18.4,237.3,1015.5,82.9,24,138.4,11.9,5,10,2024-05-15T05:37:40,2024-05-15T20:06:19,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
11355,2024-05-16,24.9,14.9,19.7,24.9,14.9,19.7,9.9,57.2,6.7,19.4,4.17,rain,0,0,27,13.3,252.8,1015.2,33.3,24,339.5,29.4,10,10,2024-05-16T05:36:45,2024-05-16T20:07:16,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
11355,2024-05-17,24.4,16.3,20.1,24.4,16.3,20.1,14,69.3,5.6,35.5,8.33,rain,0,0,28.1,22,178.8,1015.1,65.4,20.2,294.8,25.3,9,10,2024-05-17T05:35:51,2024-05-17T20:08:13,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
11355,2024-05-18,29.9,16.8,21.8,29.6,16.8,21.8,16.4,73.9,0,25.8,0,,0,0,58.7,30.2,253.2,1011,87.9,23.8,175.8,15.2,7,10,2024-05-18T05:35:00,2024-05-18T20:09:09,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
11355,2024-05-19,24.6,14.1,19.4,24.6,14.1,19.4,6.7,47.3,2.2,22.6,4.17,rain,0,0,32,18.7,292.2,1013.1,77,24.1,300,25.8,9,10,2024-05-19T05:34:10,2024-05-19T20:10:05,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
